,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
VR10, Mike  Levin, Kathleen M. Rice, Anthony  Brindisi, Chris  Pappas, Elaine G. Luria, Susie  Lee, Joe  Cunningham, Gus M. Bilirakis, Jack  Bergman, Jim  Banks, Andy  Barr, Daniel  Meuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VR03, Julia  Brownley, Conor  Lamb, Mike  Levin, Anthony  Brindisi, Max  Rose, Gilbert Ray Cisneros, Gregorio Kilili Camacho Sablan, Neal P. Dunn, Aumua Amata Coleman Radewagen, Andy  Barr, Daniel  Meuser, W. Gregory Steube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VR08, Chris  Pappas, Kathleen M. Rice, Max  Rose, Gilbert Ray Cisneros, Collin C. Peterson, Jack  Bergman, Aumua Amata Coleman Radewagen, Mike  Bost, Chip  Roy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VR11, Susie  Lee, Julia  Brownley, Conor  Lamb, Joe  Cunningham, Jim  Banks, Chip  Roy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM00, Richard E. Neal, Lloyd  Doggett, Mike  Thompson, John B. Larson, Earl  Blumenauer, Ron  Kind, Bill  Pascrell, Danny K. Davis, Linda T. Senchez, Brian  Higgins, Terri A. Sewell, Suzan K. DelBene, Judy  Chu, Gwen  Moore, Daniel T. Kildee, Brendan F. Boyle, Donald S. Beyer, Dwight  Evans, Bradley Scott Schneider, Thomas R. Suozzi, Jimmy  Panetta, Stephanie N. Murphy, Jimmy  Gomez, Steven  Horsford, Cedric L. Richmond, Kevin  Brady, Devin  Nunes, Vern  Buchanan, Adrian  Smith, Kenny  Marchant, Tom  Reed, Mike  Kelly, George  Holding, Jason  Smith, Tom  Rice, David  Schweikert, Jackie  Walorski, Darin  LaHood, Brad R. Wenstrup, Jodey C. Arrington, A. Drew Ferguson, Ron  Estes,,,,,,,,,,,,,,,,,,,,,,,,,
WM02, Lloyd  Doggett, Mike  Thompson, Ron  Kind, Earl  Blumenauer, Brian  Higgins, Terri A. Sewell, Judy  Chu, Dwight  Evans, Bradley Scott Schneider, Jimmy  Gomez, Steven  Horsford, Devin  Nunes, Vern  Buchanan, Adrian  Smith, Kenny  Marchant, Tom  Reed, Mike  Kelly, George  Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM06, Suzan K. DelBene, Linda T. Senchez, Thomas R. Suozzi, Judy  Chu, Gwen  Moore, Brendan F. Boyle, Mike  Kelly, Jackie  Walorski, Darin  LaHood, Brad R. Wenstrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM05, Mike  Thompson, Lloyd  Doggett, John B. Larson, Linda T. Senchez, Suzan K. DelBene, Gwen  Moore, Brendan F. Boyle, Donald S. Beyer, Thomas R. Suozzi, Adrian  Smith, Tom  Rice, David  Schweikert, Darin  LaHood, Jodey C. Arrington, A. Drew Ferguson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM01, John B. Larson, Bill  Pascrell, Linda T. Senchez, Daniel T. Kildee, Brendan F. Boyle, Bradley Scott Schneider, Brian  Higgins, Tom  Reed, Jodey C. Arrington, A. Drew Ferguson, Ron  Estes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM04, Earl  Blumenauer, Bill  Pascrell, Ron  Kind, Danny K. Davis, Brian  Higgins, Daniel T. Kildee, Jimmy  Panetta, Stephanie N. Murphy, Terri A. Sewell, Suzan K. DelBene, Donald S. Beyer, Vern  Buchanan, Devin  Nunes, George  Holding, Tom  Rice, Kenny  Marchant, Jason  Smith, David  Schweikert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM03, Danny K. Davis, Terri A. Sewell, Judy  Chu, Gwen  Moore, Dwight  Evans, Stephanie N. Murphy, Jimmy  Gomez, Jackie  Walorski, Brad R. Wenstrup, Ron  Estes, Tom  Reed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JL00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG00, Adam B. Schiff, James A. Himes, Terri A. Sewell, Andre  Carson, Jackie  Speier, Mike  Quigley, Eric  Swalwell, Joaquin  Castro, Denny  Heck, Peter  Welch, Sean Patrick Maloney, Val Butler Demings, Raja  Krishnamoorthi, Devin  Nunes, K. Michael Conaway, Michael R. Turner, Brad R. Wenstrup, Chris  Stewart," Eric A. ""Rick"" Crawford", Elise M. Stefanik, Will  Hurd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG05, Andre  Carson, Jackie  Speier, Mike  Quigley, Joaquin  Castro, Peter  Welch, Sean Patrick Maloney," Eric A. ""Rick"" Crawford", K. Michael Conaway, Brad R. Wenstrup, Chris  Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG06, Terri A. Sewell, James A. Himes, Denny  Heck, Peter  Welch, Sean Patrick Maloney, Val Butler Demings, Brad R. Wenstrup, Michael R. Turner, K. Michael Conaway, Will  Hurd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG08, Eric  Swalwell, Terri A. Sewell, Jackie  Speier, Joaquin  Castro, Val Butler Demings, Raja  Krishnamoorthi, Will  Hurd, K. Michael Conaway, Elise M. Stefanik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG10, James A. Himes, Andre  Carson, Mike  Quigley, Denny  Heck, Eric  Swalwell, Raja  Krishnamoorthi, Chris  Stewart, Elise M. Stefanik, Michael R. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN00, Kathy  Castor, Ben Ray Lujen, Suzanne  Bonamici, Julia  Brownley, Jared  Huffman, A. Donald McEachin, Mike  Levin, Sean  Casten, Joe  Neguse, Garret  Graves, H. Morgan Griffith, Gary J. Palmer," Earl L. ""Buddy"" Carter", Carol D. Miller, Kelly  Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MH00, Derek  Kilmer, Emanuel  Cleaver, Suzan K. DelBene, Zoe  Lofgren, Mark  Pocan, Mary Gay Scanlon, Rob  Woodall, Susan W. Brooks, Rodney  Davis, Dan  Newhouse, William R. Timmons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
